GMT-2026:05:22-15:42:13 (548521078848): START
GMT-2026:05:22-15:42:13 (548521078848): Config readed
GMT-2026:05:22-15:42:13 (548521078848): Success installed reader
GMT-2026:05:22-15:49:21 (548279414784): Request stop
GMT-2026:05:22-15:50:17 (548279414784): Request stop
GMT-2026:05:22-15:50:32 (548279414784): Request stop
GMT-2026:05:22-15:51:32 (548279414784): Request stop
GMT-2026:05:22-15:54:22 (548495896576): Request stop
GMT-2026:05:22-15:54:44 (548495896576): Request stop
GMT-2026:05:22-15:55:03 (548495896576): Request stop
GMT-2026:05:22-15:55:07 (548495896576): Request stop
GMT-2026:05:22-15:55:08 (548495896576): Request stop
GMT-2026:05:22-15:55:10 (548495896576): Request stop
GMT-2026:05:22-15:56:28 (548504289280): Request stop
GMT-2026:05:22-16:02:09 (548512681984): Request stop
GMT-2026:05:22-16:02:21 (548512681984): Request stop
GMT-2026:05:22-16:03:22 (548504289280): Request stop
GMT-2026:05:22-16:03:33 (548504289280): Request stop
GMT-2026:05:22-16:05:25 (548279414784): Request stop
GMT-2026:05:22-16:05:53 (548279414784): Request stop
GMT-2026:05:22-16:11:01 (548504289280): Request stop
GMT-2026:05:22-16:11:30 (548504289280): Request stop
GMT-2026:05:22-16:14:31 (548495896576): Request stop
GMT-2026:05:22-16:15:35 (548495896576): Request stop
GMT-2026:05:22-16:15:36 (548495896576): Request stop
GMT-2026:05:22-16:15:52 (548495896576): Request stop
GMT-2026:05:22-16:16:20 (548495896576): Request stop
GMT-2026:05:22-16:25:32 (548495896576): Request stop
GMT-2026:05:22-16:25:54 (548495896576): Request stop
GMT-2026:05:22-16:25:58 (548495896576): Request stop
GMT-2026:05:22-16:26:00 (548495896576): Request stop
GMT-2026:05:22-16:27:09 (548504289280): Request start
GMT-2026:05:22-16:27:09 (548504289280): Start read
GMT-2026:05:22-16:28:14 (548504289280): Request stop
GMT-2026:05:22-16:28:14 (548512681984): Request stop
GMT-2026:05:22-16:28:15 (548504289280): Stop read
GMT-2026:05:22-16:28:23 (548504289280): Request stop
GMT-2026:05:22-16:28:26 (548504289280): Request start
GMT-2026:05:22-16:28:26 (548504289280): Start read
GMT-2026:05:22-16:28:56 (548504289280): Request stop
GMT-2026:05:22-16:28:57 (548504289280): Stop read
GMT-2026:05:22-16:29:00 (548504289280): Request stop
GMT-2026:05:22-17:34:26 (548512681984): Request stop
GMT-2026:05:22-17:34:29 (548512681984): Request stop
GMT-2026:05:22-17:35:07 (548512681984): Request start
GMT-2026:05:22-17:35:07 (548512681984): Start read
GMT-2026:05:22-17:35:46 (548512681984): Request stop
GMT-2026:05:22-17:35:46 (548512681984): Stop read
GMT-2026:05:22-17:35:47 (548512681984): Request stop
GMT-2026:05:22-17:35:59 (548512681984): Request start
GMT-2026:05:22-17:35:59 (548512681984): Start read
GMT-2026:05:22-17:36:46 (548512681984): Request stop
GMT-2026:05:22-17:36:47 (548512681984): Stop read
GMT-2026:05:22-18:49:57 (548279414784): Request stop
GMT-2026:05:22-18:50:13 (548279414784): Request stop
GMT-2026:05:22-18:50:16 (548279414784): Request stop
GMT-2026:05:22-18:50:18 (548279414784): Request stop
GMT-2026:05:22-18:50:28 (548279414784): Request start
GMT-2026:05:22-18:50:28 (548279414784): Start read
GMT-2026:05:22-18:50:37 (548512681984): Request stop
GMT-2026:05:22-18:50:38 (548512681984): Stop read
GMT-2026:05:22-18:50:39 (548512681984): Request stop
GMT-2026:05:22-18:51:43 (548512681984): Request stop
GMT-2026:05:22-18:51:51 (548512681984): Request start
GMT-2026:05:22-18:51:51 (548512681984): Start read
GMT-2026:05:22-18:52:29 (548279414784): Request stop
GMT-2026:05:22-18:52:30 (548279414784): Stop read
GMT-2026:05:22-18:52:38 (548512681984): Request stop
GMT-2026:05:22-19:33:44 (548495896576): Request stop
GMT-2026:05:22-19:33:47 (548495896576): Request stop
GMT-2026:05:22-19:34:07 (548495896576): Request stop
GMT-2026:05:22-19:36:25 (548512681984): Request stop
GMT-2026:05:22-19:36:34 (548512681984): Request stop
GMT-2026:05:22-19:36:42 (548512681984): Request stop
GMT-2026:05:22-19:36:52 (548512681984): Request start
GMT-2026:05:22-19:36:52 (548512681984): Start read
GMT-2026:05:22-19:37:27 (548512681984): Request stop
GMT-2026:05:22-19:37:27 (548512681984): Stop read
GMT-2026:05:22-19:37:28 (548512681984): Request stop
GMT-2026:05:22-21:57:05 (548512681984): Request stop
GMT-2026:05:22-21:57:09 (548512681984): Request stop
GMT-2026:05:22-21:57:19 (548512681984): Request stop
GMT-2026:05:22-22:00:09 (548504289280): Request stop
